,Date,open,high,low,close,volume,volume Currency
0,1741363200000,0.2319,0.2342,0.2256,0.227,425578,98058.96521
1,1741384800000,0.227,0.2284,0.2224,0.2261,415286.4,93853.55957
2,1741406400000,0.2261,0.2271,0.2228,0.2238,151771.1,34173.43181
3,1741428000000,0.2238,0.229,0.2225,0.2284,205977.1,46622.48298
4,1741449600000,0.2284,0.2325,0.226,0.2318,394830.3,90728.22063
5,1741471200000,0.2318,0.232,0.2263,0.2272,201264.4,46040.83244
6,1741492800000,0.2272,0.2283,0.2247,0.2247,133931.4,30343.50475
7,1741514400000,0.2247,0.226,0.2182,0.2188,244901.2,54382.20748
8,1741536000000,0.2188,0.2199,0.2089,0.2098,1326707.7,283817.54285
9,1741557600000,0.2098,0.2145,0.2083,0.2132,229830.8,48697.23762
10,1741579200000,0.2132,0.2209,0.2114,0.2164,301963,64860.72561
11,1741600800000,0.2164,0.2233,0.2106,0.2106,430970.2,93438.4741
12,1741622400000,0.2106,0.2112,0.1891,0.1958,1031406.9,205309.90401
13,1741644000000,0.1958,0.1972,0.181,0.1912,560952.6,105744.03441
14,1741665600000,0.1912,0.1973,0.1912,0.1956,349275,67693.46167
15,1741687200000,0.1956,0.2004,0.1916,0.1974,422162.2,82979.13591
16,1741708800000,0.1974,0.2041,0.1942,0.2008,181441.3,36366.12455
17,1741730400000,0.2008,0.2013,0.1933,0.1933,293247.2,57900.6243
18,1741752000000,0.1933,0.2002,0.1917,0.1973,214271.8,41867.15677
19,1741773600000,0.1973,0.2033,0.1905,0.1934,378344.7,74416.47917
20,1741795200000,0.1934,0.1983,0.1934,0.1962,295905,57941.38254
21,1741816800000,0.1962,0.1988,0.1961,0.1963,205665.5,40538.41438
22,1741838400000,0.1963,0.1986,0.193,0.1985,495584.7,96761.2989
23,1741860000000,0.1985,0.2003,0.1939,0.1951,2649002.5,523513.05895
24,1741881600000,0.1951,0.1955,0.1893,0.1912,223762.1,42952.74064
25,1741903200000,0.1912,0.1966,0.191,0.1965,333238.4,64649.18524
26,1741924800000,0.1965,0.2,0.1965,0.1989,196809.4,38974.18518
27,1741946400000,0.1989,0.2027,0.1971,0.2012,435436,86696.09971
28,1741968000000,0.2012,0.2019,0.1976,0.1989,245118.7,48877.12169
29,1741989600000,0.1989,0.2017,0.1989,0.2015,264515.8,52941.08615
30,1742011200000,0.2015,0.2029,0.1977,0.1999,611321.4,122181.52785
31,1742032800000,0.1999,0.2019,0.1987,0.2018,378215.4,75854.95395
32,1742054400000,0.2018,0.2058,0.2012,0.2054,348806.1,70933.37603
33,1742076000000,0.2054,0.2057,0.2008,0.202,693054.6,141123.09589
34,1742097600000,0.202,0.2032,0.2004,0.2016,352472.1,71355.64916
35,1742119200000,0.2016,0.2022,0.1961,0.2001,669852.6,132858.4089
36,1742140800000,0.2001,0.2033,0.1973,0.1994,365689.5,73368.63319
37,1742162400000,0.1994,0.201,0.1964,0.2001,413521.2,81926.879
38,1742184000000,0.2001,0.2077,0.1964,0.205,1092139.1,220384.61213
39,1742205600000,0.205,0.2091,0.2029,0.2077,1822316.5,375648.34285
40,1742227200000,0.2077,0.2097,0.2058,0.2069,497829.6,103314.61224
41,1742248800000,0.2069,0.2071,0.2001,0.2004,307380.3,62435.9216
42,1742270400000,0.2004,0.2034,0.1991,0.2021,421220.5,84682.7355
43,1742292000000,0.2021,0.2026,0.1975,0.1978,311209.2,62313.4197
44,1742313600000,0.1978,0.2024,0.1957,0.2012,1003453.4,198853.34806
45,1742335200000,0.2012,0.207,0.2012,0.2051,589820.8,120799.97939
46,1742356800000,0.2051,0.2065,0.2036,0.2042,250933.2,51438.27409
47,1742378400000,0.2042,0.2123,0.2039,0.212,956576.2,199353.44273
48,1742400000000,0.212,0.2137,0.2089,0.211,796819,168374.36103
49,1742421600000,0.211,0.2135,0.2099,0.21,158376.4,33575.20353
