,Date,open,high,low,close,volume,volume Currency
0,1742448600000,0.1054,0.1057,0.1054,0.1056,5554.5,586.47129
1,1742449500000,0.1056,0.1056,0.1053,0.1056,11833,1249.11233
2,1742450400000,0.1056,0.1057,0.1056,0.1057,13042.1,1378.54997
3,1742451300000,0.1057,0.1058,0.1056,0.1056,2051.3,216.77712
4,1742452200000,0.1056,0.1056,0.1053,0.1054,1719.7,181.30223
5,1742453100000,0.1054,0.1058,0.1054,0.1056,11513.8,1216.35769
6,1742454000000,0.1056,0.1057,0.1056,0.1057,3531.4,373.26898
7,1742454900000,0.1057,0.1057,0.1054,0.1055,570,60.12553
8,1742455800000,0.1055,0.1055,0.1054,0.1054,727.3,76.65742
9,1742456700000,0.1054,0.1059,0.1054,0.1057,3128,330.70411
10,1742457600000,0.1057,0.1057,0.1056,0.1057,9542.8,1008.04727
11,1742458500000,0.1057,0.1063,0.1057,0.1063,3509.3,372.78612
12,1742459400000,0.1063,0.1065,0.1062,0.1064,18611.4,1978.7553
13,1742460300000,0.1064,0.1066,0.1064,0.1066,3630.5,386.4448
14,1742461200000,0.1066,0.1069,0.106,0.106,15003.6,1593.72031
15,1742462100000,0.106,0.108,0.106,0.1077,212276.2,22846.85785
16,1742463000000,0.1077,0.1079,0.1077,0.1079,6433.5,693.71623
17,1742463900000,0.1079,0.1084,0.1079,0.1081,25071.4,2711.38005
18,1742464800000,0.1081,0.1081,0.1067,0.1067,31607,3390.64235
19,1742465700000,0.1067,0.1073,0.1058,0.1073,82696.9,8805.80551
20,1742466600000,0.1073,0.1073,0.1069,0.107,6517.9,697.30341
21,1742467500000,0.107,0.1073,0.1067,0.1067,185923.4,19919.49288
22,1742468400000,0.1067,0.1068,0.1065,0.1065,1789.3,190.75133
23,1742469300000,0.1065,0.1065,0.1062,0.1062,611.2,64.90944
24,1742470200000,0.1062,0.1064,0.1062,0.1064,9187.3,977.52872
25,1742471100000,0.1064,0.1064,0.1064,0.1064,6524.2,694.17488
26,1742472000000,0.1064,0.1069,0.1061,0.1069,15807.2,1679.34885
27,1742472900000,0.1069,0.1069,0.1069,0.1069,0,0
28,1742473800000,0.1069,0.1071,0.1069,0.107,2216.2,237.22786
29,1742474700000,0.107,0.1072,0.107,0.1072,95856,10275.7632
30,1742475600000,0.1072,0.1073,0.1072,0.1073,909.1,97.54643
31,1742476500000,0.1073,0.1082,0.1068,0.1079,145201.4,15575.10285
32,1742477400000,0.1079,0.1085,0.1079,0.1084,12666.7,1371.08976
33,1742478300000,0.1084,0.1091,0.1079,0.1079,6336.6,687.73214
34,1742479200000,0.1079,0.1087,0.1079,0.1083,3750.4,405.95279
35,1742480100000,0.1083,0.1093,0.1083,0.1093,2079.4,227.27842
36,1742481000000,0.1093,0.1093,0.1089,0.1089,8652.7,943.04308
37,1742481900000,0.1089,0.1097,0.1086,0.1092,59961.6,6556.10415
38,1742482800000,0.1092,0.1095,0.1083,0.1085,33928.4,3684.76324
39,1742483700000,0.1085,0.1086,0.108,0.1086,28966.7,3139.44821
40,1742484600000,0.1086,0.1088,0.1071,0.1077,42231.3,4564.37381
41,1742485500000,0.1077,0.108,0.1073,0.1075,15062,1619.85472
42,1742486400000,0.1075,0.1079,0.1074,0.1074,20866.2,2245.65601
43,1742487300000,0.1074,0.1075,0.107,0.107,7533.6,808.1823
44,1742488200000,0.107,0.107,0.1065,0.1067,12353.7,1319.37136
45,1742489100000,0.1067,0.1067,0.1061,0.1064,11139.7,1183.76708
46,1742490000000,0.1064,0.1083,0.1064,0.1082,37824.9,4062.28844
47,1742490900000,0.1082,0.1082,0.1078,0.1078,13609.6,1469.27276
48,1742491800000,0.1078,0.1087,0.1078,0.1087,37180.7,4034.04817
49,1742492700000,0.1087,0.109,0.1085,0.1085,9806.7,1066.03389
